Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,publish_date
140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3,1786.0,25,26,2010,98.0,None,None,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2,1281.0,18,26,None,64.0,None,None,Дніпровська,*** not found
168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4,14610.0,18,21,2011,308.0,None,None,Івана Мазепи,19 жовтня 2020 р.
135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3,625.0,9,9,1970,92.0,None,None,Новодарницька,5 жовтня 2020 р.
98000.0,2,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1,2600.0,1,3,None,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2,2778.0,6,9,1965,45.0,None,None,Виноградний,11 лютого
48000.0,1,849.0,22,25,None,None,40.0,10.0,Кайсарова,*** not found
70000.0,1,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3,1005.0,4,26,None,None,None,None,Радченка,*** not found
84000.0,2,1273.0,6,26,None,66.0,None,18.0,Дніпровська,*** not found
175000.0,1,1725.8,7,25,2012,None,None,None,Ділова,21 січня
63000.0,3,900.0,7,10,1987,70.0,44.0,None,Бориспільська,16 січня
390000.0,3,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3,3160.0,24,28,2017,106.0,55.0,24.0,Українки,20 лютого
320000.0,3,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,19 червня 2020 р.
140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3,1786.0,25,26,2010,98.0,None,None,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2,1281.0,18,26,None,64.0,None,None,Дніпровська,*** not found
168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4,14610.0,18,21,2011,308.0,None,None,Івана Мазепи,19 жовтня 2020 р.
135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3,625.0,9,9,1970,92.0,None,None,Новодарницька,5 жовтня 2020 р.
98000.0,2,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1,2600.0,1,3,None,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2,2778.0,6,9,1965,45.0,None,None,Виноградний,11 лютого
48000.0,1,849.0,22,25,None,None,40.0,10.0,Кайсарова,*** not found
70000.0,1,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3,1005.0,4,26,None,None,None,None,Радченка,*** not found
84000.0,2,1273.0,6,26,None,66.0,None,18.0,Дніпровська,*** not found
175000.0,1,1725.8,7,25,2012,None,None,None,Ділова,21 січня
63000.0,3,900.0,7,10,1987,70.0,44.0,None,Бориспільська,16 січня
390000.0,3,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3,3160.0,24,28,2017,106.0,55.0,24.0,Українки,20 лютого
320000.0,3,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,19 червня 2020 р.
118000.0,2,1311.0,15,25,1959,90.0,41.0,13.0,Науки,18 травня 2020 р.
